gene_ontology_primary_id	gene_ontology_name	gene_ontology_all_ids	gene
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G45930
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G19670
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G44880
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G37000
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G43860
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G50170
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G15560
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G14110
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G20180
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G10670
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G59400
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G63970
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G08550
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G32770
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G01410
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G43430
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G22920
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G01910
